Date_ID,Order_date,Year,Month,Day
1,2023-06-27,2023,6,27
2,2024-12-27,2024,12,27
3,2021-07-25,2021,7,25
4,2024-05-11,2024,5,11
5,2021-10-09,2021,10,9
6,2022-11-18,2022,11,18
7,2023-11-12,2023,11,12
8,2020-03-23,2020,3,23
9,2020-05-04,2020,5,4
10,2023-11-09,2023,11,9
11,2024-12-30,2024,12,30
12,2025-02-11,2025,2,11
13,2024-01-23,2024,1,23
14,2020-11-28,2020,11,28
15,2024-05-30,2024,5,30
16,2022-01-23,2022,1,23
17,2021-12-17,2021,12,17
18,2023-02-03,2023,2,3
19,2022-10-30,2022,10,30
20,2022-01-15,2022,1,15
21,2023-12-14,2023,12,14
22,2023-07-03,2023,7,3
23,2021-05-08,2021,5,8
24,2022-10-07,2022,10,7
25,2024-08-06,2024,8,6
26,2022-01-05,2022,1,5
27,2020-10-17,2020,10,17
28,2023-08-21,2023,8,21
29,2021-06-18,2021,6,18
30,2023-05-27,2023,5,27
31,2021-10-12,2021,10,12
32,2022-09-19,2022,9,19
33,2022-03-25,2022,3,25
34,2022-02-26,2022,2,26
35,2021-04-05,2021,4,5
36,2020-11-16,2020,11,16
37,2024-12-12,2024,12,12
38,2023-04-06,2023,4,6
39,2024-01-28,2024,1,28
40,2022-01-16,2022,1,16
41,2022-12-16,2022,12,16
42,2023-07-13,2023,7,13
43,2025-03-10,2025,3,10
44,2024-09-24,2024,9,24
45,2020-04-13,2020,4,13
46,2022-06-27,2022,6,27
47,2021-03-14,2021,3,14
48,2022-02-23,2022,2,23
49,2022-03-29,2022,3,29
50,2022-11-20,2022,11,20
51,2021-11-12,2021,11,12
52,2021-08-17,2021,8,17
53,2022-05-16,2022,5,16
54,2023-07-16,2023,7,16
55,2020-08-18,2020,8,18
56,2022-04-19,2022,4,19
57,2022-12-23,2022,12,23
58,2024-12-07,2024,12,7
59,2022-02-03,2022,2,3
60,2021-12-12,2021,12,12
61,2020-05-17,2020,5,17
62,2022-12-05,2022,12,5
63,2024-09-17,2024,9,17
64,2023-05-08,2023,5,8
65,2021-03-03,2021,3,3
66,2021-03-18,2021,3,18
67,2023-04-24,2023,4,24
68,2022-04-15,2022,4,15
69,2022-08-29,2022,8,29
70,2024-09-04,2024,9,4
71,2021-05-18,2021,5,18
72,2024-07-02,2024,7,2
73,2024-02-16,2024,2,16
74,2021-11-26,2021,11,26
75,2024-02-01,2024,2,1
76,2021-09-09,2021,9,9
77,2021-09-08,2021,9,8
78,2024-07-09,2024,7,9
79,2023-02-28,2023,2,28
80,2022-08-08,2022,8,8
81,2022-12-07,2022,12,7
82,2024-04-29,2024,4,29
83,2022-01-02,2022,1,2
84,2022-06-10,2022,6,10
85,2021-11-16,2021,11,16
86,2022-08-17,2022,8,17
87,2021-11-23,2021,11,23
88,2023-03-04,2023,3,4
89,2023-12-16,2023,12,16
90,2024-05-19,2024,5,19
91,2020-05-14,2020,5,14
92,2021-08-29,2021,8,29
93,2024-11-10,2024,11,10
94,2021-12-05,2021,12,5
95,2024-07-05,2024,7,5
96,2024-06-25,2024,6,25
97,2024-05-31,2024,5,31
98,2020-10-20,2020,10,20
99,2022-08-11,2022,8,11
100,2021-10-17,2021,10,17
101,2023-09-20,2023,9,20
102,2021-01-19,2021,1,19
103,2020-08-21,2020,8,21
104,2023-04-17,2023,4,17
105,2023-12-24,2023,12,24
106,2022-03-20,2022,3,20
107,2021-08-12,2021,8,12
108,2020-12-21,2020,12,21
109,2023-07-07,2023,7,7
110,2023-08-13,2023,8,13
111,2021-02-04,2021,2,4
112,2022-09-16,2022,9,16
113,2022-05-06,2022,5,6
114,2021-05-28,2021,5,28
115,2024-07-18,2024,7,18
116,2024-12-06,2024,12,6
117,2022-12-12,2022,12,12
118,2022-10-20,2022,10,20
119,2021-03-24,2021,3,24
120,2025-01-06,2025,1,6
121,2021-03-06,2021,3,6
122,2020-06-17,2020,6,17
123,2023-09-01,2023,9,1
124,2023-06-08,2023,6,8
125,2021-03-25,2021,3,25
126,2021-01-03,2021,1,3
127,2022-08-12,2022,8,12
128,2022-03-28,2022,3,28
129,2023-07-15,2023,7,15
130,2022-09-22,2022,9,22
131,2022-12-20,2022,12,20
132,2023-01-29,2023,1,29
133,2024-03-24,2024,3,24
134,2025-02-19,2025,2,19
135,2024-07-13,2024,7,13
136,2023-04-28,2023,4,28
137,2020-12-05,2020,12,5
138,2024-05-14,2024,5,14
139,2022-01-18,2022,1,18
140,2023-09-18,2023,9,18
141,2021-05-12,2021,5,12
142,2023-09-17,2023,9,17
143,2024-09-06,2024,9,6
144,2022-06-18,2022,6,18
145,2020-05-22,2020,5,22
146,2024-10-17,2024,10,17
147,2022-03-22,2022,3,22
148,2024-03-17,2024,3,17
149,2020-04-02,2020,4,2
150,2024-03-13,2024,3,13
151,2023-03-21,2023,3,21
152,2024-03-02,2024,3,2
153,2021-04-30,2021,4,30
154,2021-09-15,2021,9,15
155,2023-01-28,2023,1,28
156,2021-07-08,2021,7,8
157,2020-04-08,2020,4,8
158,2022-08-23,2022,8,23
159,2022-12-17,2022,12,17
160,2022-06-08,2022,6,8
161,2020-08-28,2020,8,28
162,2020-09-26,2020,9,26
163,2020-12-13,2020,12,13
164,2020-11-19,2020,11,19
165,2023-09-13,2023,9,13
166,2020-03-31,2020,3,31
167,2023-08-04,2023,8,4
168,2022-04-11,2022,4,11
169,2021-12-31,2021,12,31
170,2020-08-16,2020,8,16
171,2025-02-02,2025,2,2
172,2022-02-24,2022,2,24
173,2024-02-25,2024,2,25
174,2021-06-15,2021,6,15
175,2022-12-08,2022,12,8
176,2023-12-09,2023,12,9
177,2022-07-16,2022,7,16
178,2024-05-05,2024,5,5
179,2021-10-04,2021,10,4
180,2021-11-20,2021,11,20
181,2020-09-15,2020,9,15
182,2023-01-17,2023,1,17
183,2020-06-16,2020,6,16
184,2024-05-01,2024,5,1
185,2023-12-07,2023,12,7
186,2024-02-02,2024,2,2
187,2024-06-23,2024,6,23
188,2024-06-07,2024,6,7
189,2023-10-13,2023,10,13
190,2022-10-08,2022,10,8
191,2023-10-27,2023,10,27
192,2021-02-09,2021,2,9
193,2020-11-03,2020,11,3
194,2022-05-30,2022,5,30
195,2024-06-16,2024,6,16
196,2022-07-15,2022,7,15
197,2021-07-18,2021,7,18
198,2021-10-02,2021,10,2
199,2024-04-16,2024,4,16
200,2020-07-09,2020,7,9
201,2020-07-25,2020,7,25
202,2024-01-24,2024,1,24
203,2021-11-13,2021,11,13
204,2023-10-07,2023,10,7
205,2021-10-23,2021,10,23
206,2022-07-18,2022,7,18
207,2024-08-23,2024,8,23
208,2020-10-28,2020,10,28
209,2024-06-15,2024,6,15
210,2024-12-19,2024,12,19
211,2020-09-04,2020,9,4
212,2022-04-16,2022,4,16
213,2024-08-29,2024,8,29
214,2022-01-14,2022,1,14
215,2024-04-07,2024,4,7
216,2022-04-24,2022,4,24
217,2020-08-27,2020,8,27
218,2023-03-01,2023,3,1
219,2020-10-02,2020,10,2
220,2020-06-23,2020,6,23
221,2022-08-01,2022,8,1
222,2020-07-16,2020,7,16
223,2020-05-02,2020,5,2
224,2024-01-10,2024,1,10
225,2020-09-30,2020,9,30
226,2021-01-30,2021,1,30
227,2025-03-14,2025,3,14
228,2021-10-26,2021,10,26
229,2023-01-11,2023,1,11
230,2021-10-31,2021,10,31
231,2023-05-04,2023,5,4
232,2024-08-09,2024,8,9
233,2022-08-21,2022,8,21
234,2022-06-19,2022,6,19
235,2025-01-29,2025,1,29
236,2023-06-15,2023,6,15
237,2023-10-18,2023,10,18
238,2022-06-13,2022,6,13
239,2024-06-12,2024,6,12
240,2021-02-18,2021,2,18
241,2023-05-29,2023,5,29
242,2021-06-04,2021,6,4
243,2024-01-22,2024,1,22
244,2022-12-27,2022,12,27
245,2024-03-30,2024,3,30
246,2020-04-04,2020,4,4
247,2023-01-22,2023,1,22
248,2022-04-12,2022,4,12
249,2023-12-13,2023,12,13
250,2023-05-24,2023,5,24
251,2020-11-29,2020,11,29
252,2020-08-19,2020,8,19
253,2024-12-26,2024,12,26
254,2021-12-03,2021,12,3
255,2021-09-14,2021,9,14
256,2021-09-30,2021,9,30
257,2021-12-22,2021,12,22
258,2022-05-18,2022,5,18
259,2020-10-08,2020,10,8
260,2022-08-20,2022,8,20
261,2024-11-25,2024,11,25
262,2025-02-20,2025,2,20
263,2025-03-07,2025,3,7
264,2020-11-21,2020,11,21
265,2024-10-01,2024,10,1
266,2024-07-01,2024,7,1
267,2020-11-23,2020,11,23
268,2023-03-18,2023,3,18
269,2022-10-19,2022,10,19
270,2023-08-31,2023,8,31
271,2021-06-06,2021,6,6
272,2022-12-21,2022,12,21
273,2024-02-12,2024,2,12
274,2021-04-04,2021,4,4
275,2021-02-12,2021,2,12
276,2024-01-19,2024,1,19
277,2022-12-25,2022,12,25
278,2022-10-06,2022,10,6
279,2020-04-27,2020,4,27
280,2024-05-13,2024,5,13
281,2020-10-23,2020,10,23
282,2021-06-11,2021,6,11
283,2022-11-23,2022,11,23
284,2022-10-31,2022,10,31
285,2023-11-06,2023,11,6
286,2023-06-26,2023,6,26
287,2023-09-30,2023,9,30
288,2020-09-12,2020,9,12
289,2020-11-27,2020,11,27
290,2022-08-25,2022,8,25
291,2023-08-23,2023,8,23
292,2023-10-11,2023,10,11
293,2022-04-21,2022,4,21
294,2023-09-14,2023,9,14
295,2020-04-29,2020,4,29
296,2020-12-15,2020,12,15
297,2024-07-11,2024,7,11
298,2024-09-21,2024,9,21
299,2022-10-21,2022,10,21
300,2020-10-21,2020,10,21
301,2022-01-11,2022,1,11
302,2021-02-17,2021,2,17
303,2021-11-06,2021,11,6
304,2022-08-30,2022,8,30
305,2023-06-04,2023,6,4
306,2022-05-13,2022,5,13
307,2023-01-23,2023,1,23
308,2025-03-08,2025,3,8
309,2024-04-24,2024,4,24
310,2021-12-24,2021,12,24
311,2023-09-07,2023,9,7
312,2021-08-10,2021,8,10
313,2024-05-26,2024,5,26
314,2022-02-19,2022,2,19
315,2024-12-09,2024,12,9
316,2023-06-01,2023,6,1
317,2023-11-05,2023,11,5
318,2020-06-21,2020,6,21
319,2020-10-26,2020,10,26
320,2022-06-06,2022,6,6
321,2021-11-11,2021,11,11
322,2021-07-31,2021,7,31
323,2024-04-13,2024,4,13
324,2024-03-23,2024,3,23
325,2021-05-07,2021,5,7
326,2021-08-09,2021,8,9
327,2025-02-09,2025,2,9
328,2024-04-23,2024,4,23
329,2023-02-23,2023,2,23
330,2024-06-06,2024,6,6
331,2025-01-27,2025,1,27
332,2023-04-07,2023,4,7
333,2022-01-20,2022,1,20
334,2022-05-10,2022,5,10
335,2024-05-29,2024,5,29
336,2022-01-04,2022,1,4
337,2024-05-02,2024,5,2
338,2021-12-28,2021,12,28
339,2023-08-17,2023,8,17
340,2021-11-29,2021,11,29
341,2021-06-13,2021,6,13
342,2022-07-04,2022,7,4
343,2021-06-27,2021,6,27
344,2023-12-04,2023,12,4
345,2022-08-09,2022,8,9
346,2023-10-20,2023,10,20
347,2022-02-10,2022,2,10
348,2023-10-05,2023,10,5
349,2021-04-03,2021,4,3
350,2021-05-03,2021,5,3
351,2024-02-11,2024,2,11
352,2025-02-04,2025,2,4
353,2022-10-12,2022,10,12
354,2022-02-06,2022,2,6
355,2020-11-09,2020,11,9
356,2023-05-03,2023,5,3
357,2022-10-04,2022,10,4
358,2024-08-21,2024,8,21
359,2020-05-13,2020,5,13
360,2021-01-21,2021,1,21
361,2022-02-28,2022,2,28
362,2024-04-25,2024,4,25
363,2023-03-10,2023,3,10
364,2023-07-10,2023,7,10
365,2024-07-28,2024,7,28
366,2023-07-30,2023,7,30
367,2024-10-05,2024,10,5
368,2024-02-20,2024,2,20
369,2023-04-19,2023,4,19
370,2023-10-29,2023,10,29
371,2022-03-08,2022,3,8
372,2024-07-27,2024,7,27
373,2022-07-05,2022,7,5
374,2024-07-04,2024,7,4
375,2024-02-28,2024,2,28
376,2025-01-03,2025,1,3
377,2021-12-07,2021,12,7
378,2021-12-14,2021,12,14
379,2020-11-30,2020,11,30
380,2021-12-29,2021,12,29
381,2024-07-08,2024,7,8
382,2021-02-10,2021,2,10
383,2023-12-28,2023,12,28
384,2022-08-10,2022,8,10
385,2023-10-17,2023,10,17
386,2024-05-24,2024,5,24
387,2024-02-10,2024,2,10
388,2021-02-06,2021,2,6
389,2022-03-16,2022,3,16
390,2020-05-24,2020,5,24
391,2025-02-16,2025,2,16
392,2024-09-08,2024,9,8
